	NPC	PTA	RVd	RVm	RVpr	SSBd	SSBm	SSBpr	SSBpod
SIX2	1	0	0	0	0	0	0	0	0
CITED1	1	0	0	0	0	0	0	0	0
MEOX1	1	0	0	0	0	0	0	0	0
EYA1	1	0	0	0	0	0	0	0	0
PAX8	0	1	1	0	0	0	0	0	0
LEF1	0	1	0	0	0	0	0	0	0
JAG1	0	1	0	1	0	0	1	1	0
WNT4	0	1	0	0	0	0	0	0	0
LHX1	0	1	1	0	0	1	0	0	0
SOX9	0	0	1	0	0	1	0	0	0
HNF1B	0	0	1	1	0	0	0	0	0
POU3F3	0	0	1	0	0	1	0	0	0
WT1	0	0	0	0	1	0	0	0	0
FOXC2	0	0	0	0	1	0	0	0	0
CDH6	0	0	0	0	1	0	0	1	0
GATA3	0	0	0	0	0	1	0	0	0
DLL1	0	0	0	0	0	0	1	0	0
MAFB	0	0	0	0	0	0	0	0	1
PODXL	0	0	0	0	0	0	0	0	1
NPHS1	0	0	0	0	0	0	0	0	1

