	ALDH1A1	CAPN6	CDH6	CITED1	CLDN5	CRYM	DAPL1	EMX2	ERBB4	FOXC2	GATA3	HES1	HNF1B	HOXD11	JAG1	KDM2B	KRT8	LEF1	LHX1	LRP2	LYPD1	MAFB	MAL	MECOM	MEOX1	NPHS2	OLFM3	PAPPA2	PAX2	PAX8	PCDH9	PODXL	POU3F3	SALL1	SIX1	SIX2	SLC12A2	SOX9	SYNPO	TCF21	TMEM100	WASF3	WNT4	WT1
D1	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	1	1		0	1
D2	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	1	1		0	1
D3	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	1	1		0	1
D4	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	1		0	1
D5	0	0	1	0	0	0	0	0	1	1	0	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0		1	1
D6	0	0	1	1	1	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	1	1	1	0	0	1	1	1	0	0	0	0	0	0		0	1
D7	0	1	1	0	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	0	0	0	1	1	0	0	1	1	1	0	0	1	0	0	0	0		1	1
D8	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0		0	1
D9	1	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	1	0	1	1	0	0	0	1	1	0	1	1	1	1	0	0	1	0	0	0	1	1	0	0		0	1
D10	1	0	1	0	0	0	0	1	1	0	0	1	1	0	1	1	1	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0		1	1
D11	0	0	1	0	0	1	0	1	1	0	0	1	1	0	1	1	1	1	1	1	0	0	1	0	0	0	0	0	1	1	0	0	1	1	1	0	0	1	0	0	0	0		0	0
D12	0	1	1	0	0	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0	1	1	1	0	0	1	1	1	0	0	1	0	0	0	0		0	0
D13	0	1	1	0	0	0	0	1	1	0	0	1	1	1	0	1	1	1	1	0	0	0	1	1	0	0	0	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0		0	0
D14	1	1	1	0	0	0	0	1	1	0	1	1	1	1	0	0	1	1	1	0	0	0	1	1	0	0	0	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0		0	0

